,r11,r12,r13,r21,r22,r23,r31,r32,r33,px,py,pz,gripper
2098,0.0,0.9999996829318346,0.0007963267107332633,0.0,0.0007963267107332633,-0.9999996829318346,-1.0,0.0,0.0,0.0,-1.0,0.24145764099330366,1
2099,0.0,0.9999996829318346,0.0007963267107332633,0.0,0.0007963267107332633,-0.9999996829318346,-1.0,0.0,0.0,0.0,-1.0,0.2407609910255421,1
2100,0.0,0.9999996829318346,0.0007963267107332633,0.0,0.0007963267107332633,-0.9999996829318346,-1.0,0.0,0.0,0.0,-1.0,0.24003231288542318,1
2101,0.0,0.9999996829318346,0.0007963267107332633,0.0,0.0007963267107332633,-0.9999996829318346,-1.0,0.0,0.0,0.0,-1.0,0.2392713999285531,1
2102,0.0,0.9999996829318346,0.0007963267107332633,0.0,0.0007963267107332633,-0.9999996829318346,-1.0,0.0,0.0,0.0,-1.0,0.23847807847328184,1
2103,0.0,0.9999996829318346,0.0007963267107332633,0.0,0.0007963267107332633,-0.9999996829318346,-1.0,0.0,0.0,0.0,-1.0,0.23765220728160522,1
2104,0.0,0.9999996829318346,0.0007963267107332633,0.0,0.0007963267107332633,-0.9999996829318346,-1.0,0.0,0.0,0.0,-1.0,0.23679367704006643,1
2105,0.0,0.9999996829318346,0.0007963267107332633,0.0,0.0007963267107332633,-0.9999996829318346,-1.0,0.0,0.0,0.0,-1.0,0.23590240984065763,1
2106,0.0,0.9999996829318346,0.0007963267107332633,0.0,0.0007963267107332633,-0.9999996829318346,-1.0,0.0,0.0,0.0,-1.0,0.23497835866172162,1
2107,0.0,0.9999996829318346,0.0007963267107332633,0.0,0.0007963267107332633,-0.9999996829318346,-1.0,0.0,0.0,0.0,-1.0,0.23402150684885367,1
2108,0.0,0.9999996829318346,0.0007963267107332633,0.0,0.0007963267107332633,-0.9999996829318346,-1.0,0.0,0.0,0.0,-1.0,0.233031867595803,1
2109,0.0,0.9999996829318346,0.0007963267107332633,0.0,0.0007963267107332633,-0.9999996829318346,-1.0,0.0,0.0,0.0,-1.0,0.23200948342537459,1
2110,0.0,0.9999996829318346,0.0007963267107332633,0.0,0.0007963267107332633,-0.9999996829318346,-1.0,0.0,0.0,0.0,-1.0,0.23095442567033067,1
2111,0.0,0.9999996829318346,0.0007963267107332633,0.0,0.0007963267107332633,-0.9999996829318346,-1.0,0.0,0.0,0.0,-1.0,0.22986679395429266,1
2112,0.0,0.9999996829318346,0.0007963267107332633,0.0,0.0007963267107332633,-0.9999996829318346,-1.0,0.0,0.0,0.0,-1.0,0.2287467156726426,1
2113,0.0,0.9999996829318346,0.0007963267107332633,0.0,0.0007963267107332633,-0.9999996829318346,-1.0,0.0,0.0,0.0,-1.0,0.22759434547342489,1
2114,0.0,0.9999996829318346,0.0007963267107332633,0.0,0.0007963267107332633,-0.9999996829318346,-1.0,0.0,0.0,0.0,-1.0,0.226409864738248,1
2115,0.0,0.9999996829318346,0.0007963267107332633,0.0,0.0007963267107332633,-0.9999996829318346,-1.0,0.0,0.0,0.0,-1.0,0.22519348106318618,1
2116,0.0,0.9999996829318346,0.0007963267107332633,0.0,0.0007963267107332633,-0.9999996829318346,-1.0,0.0,0.0,0.0,-1.0,0.2239454277396809,1
2117,0.0,0.9999996829318346,0.0007963267107332633,0.0,0.0007963267107332633,-0.9999996829318346,-1.0,0.0,0.0,0.0,-1.0,0.2226659632354428,1
2118,0.0,0.9999996829318346,0.0007963267107332633,0.0,0.0007963267107332633,-0.9999996829318346,-1.0,0.0,0.0,0.0,-1.0,0.2213553706753533,1
2119,0.0,0.9999996829318346,0.0007963267107332633,0.0,0.0007963267107332633,-0.9999996829318346,-1.0,0.0,0.0,0.0,-1.0,0.220013957322366,1
2120,0.0,0.9999996829318346,0.0007963267107332633,0.0,0.0007963267107332633,-0.9999996829318346,-1.0,0.0,0.0,0.0,-1.0,0.21864205405840878,1
2121,0.0,0.9999996829318346,0.0007963267107332633,0.0,0.0007963267107332633,-0.9999996829318346,-1.0,0.0,0.0,0.0,-1.0,0.2172400148652851,1
2122,0.0,0.9999996829318346,0.0007963267107332633,0.0,0.0007963267107332633,-0.9999996829318346,-1.0,0.0,0.0,0.0,-1.0,0.21580821630557587,1
2123,0.0,0.9999996829318346,0.0007963267107332633,0.0,0.0007963267107332633,-0.9999996829318346,-1.0,0.0,0.0,0.0,-1.0,0.21434705700354106,1
2124,0.0,0.9999996829318346,0.0007963267107332633,0.0,0.0007963267107332633,-0.9999996829318346,-1.0,0.0,0.0,0.0,-1.0,0.21285695712602135,1
2125,0.0,0.9999996829318346,0.0007963267107332633,0.0,0.0007963267107332633,-0.9999996829318346,-1.0,0.0,0.0,0.0,-1.0,0.21133835786333993,1
2126,0.0,0.9999996829318346,0.0007963267107332633,0.0,0.0007963267107332633,-0.9999996829318346,-1.0,0.0,0.0,0.0,-1.0,0.2097917209102039,1
2127,0.0,0.9999996829318346,0.0007963267107332633,0.0,0.0007963267107332633,-0.9999996829318346,-1.0,0.0,0.0,0.0,-1.0,0.2082175279466062,1
2128,0.0,0.9999996829318346,0.0007963267107332633,0.0,0.0007963267107332633,-0.9999996829318346,-1.0,0.0,0.0,0.0,-1.0,0.2066162801187272,1
2129,0.0,0.9999996829318346,0.0007963267107332633,0.0,0.0007963267107332633,-0.9999996829318346,-1.0,0.0,0.0,0.0,-1.0,0.20498849751983625,1
2130,0.0,0.9999996829318346,0.0007963267107332633,0.0,0.0007963267107332633,-0.9999996829318346,-1.0,0.0,0.0,0.0,-1.0,0.20333471867119354,1
2131,0.0,0.9999996829318346,0.0007963267107332633,0.0,0.0007963267107332633,-0.9999996829318346,-1.0,0.0,0.0,0.0,-1.0,0.20165550000295168,1
2132,0.0,0.9999996829318346,0.0007963267107332633,0.0,0.0007963267107332633,-0.9999996829318346,-1.0,0.0,0.0,0.0,-1.0,0.19995141533505725,1
2133,0.0,0.9999996829318346,0.0007963267107332633,0.0,0.0007963267107332633,-0.9999996829318346,-1.0,0.0,0.0,0.0,-1.0,0.19822305535815277,1
2134,0.0,0.9999996829318346,0.0007963267107332633,0.0,0.0007963267107332633,-0.9999996829318346,-1.0,0.0,0.0,0.0,-1.0,0.19647102711447798,1
2135,0.0,0.9999996829318346,0.0007963267107332633,0.0,0.0007963267107332633,-0.9999996829318346,-1.0,0.0,0.0,0.0,-1.0,0.1946959534787719,1
2136,0.0,0.9999996829318346,0.0007963267107332633,0.0,0.0007963267107332633,-0.9999996829318346,-1.0,0.0,0.0,0.0,-1.0,0.19289847263917417,1
2137,0.0,0.9999996829318346,0.0007963267107332633,0.0,0.0007963267107332633,-0.9999996829318346,-1.0,0.0,0.0,0.0,-1.0,0.191079237578127,1
2138,0.0,0.9999996829318346,0.0007963267107332633,0.0,0.0007963267107332633,-0.9999996829318346,-1.0,0.0,0.0,0.0,-1.0,0.18923891555327657,1
2139,0.0,0.9999996829318346,0.0007963267107332633,0.0,0.0007963267107332633,-0.9999996829318346,-1.0,0.0,0.0,0.0,-1.0,0.1873781875783748,1
2140,0.0,0.9999996829318346,0.0007963267107332633,0.0,0.0007963267107332633,-0.9999996829318346,-1.0,0.0,0.0,0.0,-1.0,0.18549774790418133,1
2141,0.0,0.9999996829318346,0.0007963267107332633,0.0,0.0007963267107332633,-0.9999996829318346,-1.0,0.0,0.0,0.0,-1.0,0.18359830349936457,1
2142,0.0,0.9999996829318346,0.0007963267107332633,0.0,0.0007963267107332633,-0.9999996829318346,-1.0,0.0,0.0,0.0,-1.0,0.18168057353140385,1
2143,0.0,0.9999996829318346,0.0007963267107332633,0.0,0.0007963267107332633,-0.9999996829318346,-1.0,0.0,0.0,0.0,-1.0,0.179745288847491,1
2144,0.0,0.9999996829318346,0.0007963267107332633,0.0,0.0007963267107332633,-0.9999996829318346,-1.0,0.0,0.0,0.0,-1.0,0.17779319145543188,1
2145,0.0,0.9999996829318346,0.0007963267107332633,0.0,0.0007963267107332633,-0.9999996829318346,-1.0,0.0,0.0,0.0,-1.0,0.1758250340045482,1
2146,0.0,0.9999996829318346,0.0007963267107332633,0.0,0.0007963267107332633,-0.9999996829318346,-1.0,0.0,0.0,0.0,-1.0,0.173841579266579,1
2147,0.0,0.9999996829318346,0.0007963267107332633,0.0,0.0007963267107332633,-0.9999996829318346,-1.0,0.0,0.0,0.0,-1.0,0.17184359961658255,1
2148,0.0,0.9999996829318346,0.0007963267107332633,0.0,0.0007963267107332633,-0.9999996829318346,-1.0,0.0,0.0,0.0,-1.0,0.169831876513838,1
2149,0.0,0.9999996829318346,0.0007963267107332633,0.0,0.0007963267107332633,-0.9999996829318346,-1.0,0.0,0.0,0.0,-1.0,0.1678071999827467,1
2150,0.0,0.9999996829318346,0.0007963267107332633,0.0,0.0007963267107332633,-0.9999996829318346,-1.0,0.0,0.0,0.0,-1.0,0.16577036809373444,1
2151,0.0,0.9999996829318346,0.0007963267107332633,0.0,0.0007963267107332633,-0.9999996829318346,-1.0,0.0,0.0,0.0,-1.0,0.16372218644415248,1
2152,0.0,0.9999996829318346,0.0007963267107332633,0.0,0.0007963267107332633,-0.9999996829318346,-1.0,0.0,0.0,0.0,-1.0,0.16166346763917985,1
2153,0.0,0.9999996829318346,0.0007963267107332633,0.0,0.0007963267107332633,-0.9999996829318346,-1.0,0.0,0.0,0.0,-1.0,0.15959503077272455,1
2154,0.0,0.9999996829318346,0.0007963267107332633,0.0,0.0007963267107332633,-0.9999996829318346,-1.0,0.0,0.0,0.0,-1.0,0.15751770090832537,1
2155,0.0,0.9999996829318346,0.0007963267107332633,0.0,0.0007963267107332633,-0.9999996829318346,-1.0,0.0,0.0,0.0,-1.0,0.1554323085600537,1
2156,0.0,0.9999996829318346,0.0007963267107332633,0.0,0.0007963267107332633,-0.9999996829318346,-1.0,0.0,0.0,0.0,-1.0,0.1533396891734149,1
2157,0.0,0.9999996829318346,0.0007963267107332633,0.0,0.0007963267107332633,-0.9999996829318346,-1.0,0.0,0.0,0.0,-1.0,0.15124068260625032,1
2158,0.0,0.9999996829318346,0.0007963267107332633,0.0,0.0007963267107332633,-0.9999996829318346,-1.0,0.0,0.0,0.0,-1.0,0.1491361326096387,1
2159,0.0,0.9999996829318346,0.0007963267107332633,0.0,0.0007963267107332633,-0.9999996829318346,-1.0,0.0,0.0,0.0,-1.0,0.14702688630879795,1
