,r11,r12,r13,r21,r22,r23,r31,r32,r33,px,py,pz,gripper
140,0.0,0.0,1.0,0.0,1.0,0.0,-1.0,0.0,0.0,0.059801254686466285,0.01993375156215543,0.4900331242189223,0
141,0.0,0.0,1.0,0.0,1.0,0.0,-1.0,0.0,0.0,0.06097090758562779,0.020323635861875928,0.48983818206906204,0
142,0.0,0.0,1.0,0.0,1.0,0.0,-1.0,0.0,0.0,0.06215379436098144,0.02071793145366048,0.48964103427316974,0
143,0.0,0.0,1.0,0.0,1.0,0.0,-1.0,0.0,0.0,0.06334993803149429,0.021116646010498095,0.48944167699475094,0
144,0.0,0.0,1.0,0.0,1.0,0.0,-1.0,0.0,0.0,0.06455936075879874,0.02151978691959958,0.4892401065402002,0
145,0.0,0.0,1.0,0.0,1.0,0.0,-1.0,0.0,0.0,0.06578208385050904,0.021927361283503016,0.4890363193582485,0
146,0.0,0.0,1.0,0.0,1.0,0.0,-1.0,0.0,0.0,0.06701812776353787,0.02233937592117929,0.48883031203941035,0
147,0.0,0.0,1.0,0.0,1.0,0.0,-1.0,0.0,0.0,0.06826751210741293,0.02275583736913764,0.48862208131543117,0
148,0.0,0.0,1.0,0.0,1.0,0.0,-1.0,0.0,0.0,0.06953025564759349,0.023176751882531165,0.4884116240587344,0
149,0.0,0.0,1.0,0.0,1.0,0.0,-1.0,0.0,0.0,0.0708063763087871,0.023602125436262365,0.4881989372818688,0
150,0.0,0.0,1.0,0.0,1.0,0.0,-1.0,0.0,0.0,0.07209589117826583,0.02403196372608861,0.4879840181369557,0
151,0.0,0.0,1.0,0.0,1.0,0.0,-1.0,0.0,0.0,0.07339881650918331,0.02446627216972777,0.48776686391513613,0
152,0.0,0.0,1.0,0.0,1.0,0.0,-1.0,0.0,0.0,0.07471516772389092,0.02490505590796364,0.48754747204601817,0
153,0.0,0.0,1.0,0.0,1.0,0.0,-1.0,0.0,0.0,0.0760449594172545,0.0253483198057515,0.48732584009712426,0
154,0.0,0.0,1.0,0.0,1.0,0.0,-1.0,0.0,0.0,0.07738820535997105,0.025796068453323686,0.48710196577333814,0
155,0.0,0.0,1.0,0.0,1.0,0.0,-1.0,0.0,0.0,0.07874491850188511,0.026248306167295038,0.4868758469163525,0
156,0.0,0.0,1.0,0.0,1.0,0.0,-1.0,0.0,0.0,0.08011511097530537,0.026705036991768457,0.4866474815041158,0
157,0.0,0.0,1.0,0.0,1.0,0.0,-1.0,0.0,0.0,0.08149879409832136,0.027166264699440456,0.48641686765027975,0
158,0.0,0.0,1.0,0.0,1.0,0.0,-1.0,0.0,0.0,0.08289597837811996,0.027631992792706655,0.48618400360364666,0
159,0.0,0.0,1.0,0.0,1.0,0.0,-1.0,0.0,0.0,0.08430667351430197,0.028102224504767324,0.48594888774761635,0
160,0.0,0.0,1.0,0.0,1.0,0.0,-1.0,0.0,0.0,0.08573088840219859,0.028576962800732863,0.4857115185996336,0
161,0.0,0.0,1.0,0.0,1.0,0.0,-1.0,0.0,0.0,0.0871686311361882,0.0290562103787294,0.4854718948106353,0
162,0.0,0.0,1.0,0.0,1.0,0.0,-1.0,0.0,0.0,0.08861990901301281,0.02953996967100427,0.4852300151644979,0
163,0.0,0.0,1.0,0.0,1.0,0.0,-1.0,0.0,0.0,0.0900847285350946,0.03002824284503153,0.4849858785774842,0
164,0.0,0.0,1.0,0.0,1.0,0.0,-1.0,0.0,0.0,0.09156309541385256,0.03052103180461752,0.48473948409769124,0
165,0.0,0.0,1.0,0.0,1.0,0.0,-1.0,0.0,0.0,0.09305501457301907,0.031018338191006356,0.48449083090449685,0
166,0.0,0.0,1.0,0.0,1.0,0.0,-1.0,0.0,0.0,0.09456049015195654,0.031520163383985514,0.4842399183080072,0
167,0.0,0.0,1.0,0.0,1.0,0.0,-1.0,0.0,0.0,0.09607952550897375,0.03202650850299125,0.48398674574850437,0
168,0.0,0.0,1.0,0.0,1.0,0.0,-1.0,0.0,0.0,0.09761212322464262,0.032537374408214206,0.4837313127958929,0
169,0.0,0.0,1.0,0.0,1.0,0.0,-1.0,0.0,0.0,0.09915828510511485,0.03305276170170495,0.48347361914914755,0
170,0.0,0.0,1.0,0.0,1.0,0.0,-1.0,0.0,0.0,0.10071801218543824,0.033572670728479415,0.4832136646357603,0
171,0.0,0.0,1.0,0.0,1.0,0.0,-1.0,0.0,0.0,0.10229130473287346,0.03409710157762449,0.48295144921118777,0
172,0.0,0.0,1.0,0.0,1.0,0.0,-1.0,0.0,0.0,0.1038781622502107,0.034626054083403565,0.4826869729582982,0
173,0.0,0.0,1.0,0.0,1.0,0.0,-1.0,0.0,0.0,0.10547858347908595,0.03515952782636198,0.482420236086819,0
174,0.0,0.0,1.0,0.0,1.0,0.0,-1.0,0.0,0.0,0.10709256640329784,0.03569752213443261,0.48215123893278367,0
175,0.0,0.0,1.0,0.0,1.0,0.0,-1.0,0.0,0.0,0.10872010825212411,0.03624003608404137,0.4818799819579793,0
176,0.0,0.0,1.0,0.0,1.0,0.0,-1.0,0.0,0.0,0.11036120550363819,0.03678706850121273,0.48160646574939364,0
177,0.0,0.0,1.0,0.0,1.0,0.0,-1.0,0.0,0.0,0.11201585388802579,0.03733861796267526,0.4813306910186624,0
178,0.0,0.0,1.0,0.0,1.0,0.0,-1.0,0.0,0.0,0.11368404839090147,0.03789468279696716,0.4810526586015164,0
179,0.0,0.0,1.0,0.0,1.0,0.0,-1.0,0.0,0.0,0.11536578325662523,0.038455261085541745,0.4807723694572291,0
180,0.0,0.0,1.0,0.0,1.0,0.0,-1.0,0.0,0.0,0.1170610519916191,0.039020350663873035,0.4804898246680635,0
181,0.0,0.0,1.0,0.0,1.0,0.0,-1.0,0.0,0.0,0.11876984736768359,0.0395899491225612,0.4802050254387194,0
182,0.0,0.0,1.0,0.0,1.0,0.0,-1.0,0.0,0.0,0.12049216142531441,0.040164053808438134,0.47991797309578094,0
183,0.0,0.0,1.0,0.0,1.0,0.0,-1.0,0.0,0.0,0.1222279854770191,0.040742661825673036,0.4796286690871635,0
184,0.0,0.0,1.0,0.0,1.0,0.0,-1.0,0.0,0.0,0.12397731011063329,0.04132577003687776,0.4793371149815611,0
185,0.0,0.0,1.0,0.0,1.0,0.0,-1.0,0.0,0.0,0.1257401251926376,0.04191337506421254,0.4790433124678937,0
186,0.0,0.0,1.0,0.0,1.0,0.0,-1.0,0.0,0.0,0.12751641987147425,0.04250547329049142,0.4787472633547543,0
187,0.0,0.0,1.0,0.0,1.0,0.0,-1.0,0.0,0.0,0.12930618258086327,0.043102060860287755,0.4784489695698561,0
188,0.0,0.0,1.0,0.0,1.0,0.0,-1.0,0.0,0.0,0.1311094010431193,0.04370313368103977,0.47814843315948014,0
189,0.0,0.0,1.0,0.0,1.0,0.0,-1.0,0.0,0.0,0.13292606227246828,0.0443086874241561,0.47784565628792197,0
190,0.0,0.0,1.0,0.0,1.0,0.0,-1.0,0.0,0.0,0.13475615257836387,0.044918717526121296,0.47754064123693934,0
191,0.0,0.0,1.0,0.0,1.0,0.0,-1.0,0.0,0.0,0.13659965756880404,0.04553321918960135,0.4772333904051993,0
192,0.0,0.0,1.0,0.0,1.0,0.0,-1.0,0.0,0.0,0.13845656215364763,0.04615218738454921,0.4769239063077254,0
193,0.0,0.0,1.0,0.0,1.0,0.0,-1.0,0.0,0.0,0.14032685054793104,0.04677561684931034,0.47661219157534485,0
194,0.0,0.0,1.0,0.0,1.0,0.0,-1.0,0.0,0.0,0.1422105062751846,0.0474035020917282,0.4762982489541359,0
195,0.0,0.0,1.0,0.0,1.0,0.0,-1.0,0.0,0.0,0.14410751217074944,0.04803583739024981,0.47598208130487507,0
196,0.0,0.0,1.0,0.0,1.0,0.0,-1.0,0.0,0.0,0.14601785038509377,0.04867261679503126,0.4756636916024844,0
197,0.0,0.0,1.0,0.0,1.0,0.0,-1.0,0.0,0.0,0.1479415023871296,0.04931383412904321,0.4753430829354784,0
198,0.0,0.0,1.0,0.0,1.0,0.0,-1.0,0.0,0.0,0.14987844896752928,0.04995948298917643,0.4750202585054118,0
199,0.0,0.0,1.0,0.0,1.0,0.0,-1.0,0.0,0.0,0.15182867024204222,0.050609556747347406,0.47469522162632627,0
200,0.0,0.0,1.0,0.0,1.0,0.0,-1.0,0.0,0.0,0.1537921456548112,0.05126404855160373,0.47436797572419814,0
201,0.0,0.0,1.0,0.0,1.0,0.0,-1.0,0.0,0.0,0.15576885398168905,0.05192295132722968,0.47403852433638516,0
202,0.0,0.0,1.0,0.0,1.0,0.0,-1.0,0.0,0.0,0.15775877333355534,0.05258625777785178,0.4737068711110741,0
203,0.0,0.0,1.0,0.0,1.0,0.0,-1.0,0.0,0.0,0.15976188115963302,0.05325396038654434,0.47337301980672786,0
204,0.0,0.0,1.0,0.0,1.0,0.0,-1.0,0.0,0.0,0.1617781542508045,0.05392605141693483,0.4730369742915326,0
205,0.0,0.0,1.0,0.0,1.0,0.0,-1.0,0.0,0.0,0.16380756874292882,0.05460252291430961,0.4726987385428452,0
206,0.0,0.0,1.0,0.0,1.0,0.0,-1.0,0.0,0.0,0.165850100120158,0.055283366706719336,0.47235831664664035,0
207,0.0,0.0,1.0,0.0,1.0,0.0,-1.0,0.0,0.0,0.16790572321825342,0.05596857440608447,0.47201571279695775,0
208,0.0,0.0,1.0,0.0,1.0,0.0,-1.0,0.0,0.0,0.16997441222790272,0.0566581374093009,0.47167093129534954,0
209,0.0,0.0,1.0,0.0,1.0,0.0,-1.0,0.0,0.0,0.17205614069803604,0.05735204689934535,0.4713239765503273,0
210,0.0,0.0,1.0,0.0,1.0,0.0,-1.0,0.0,0.0,0.17415088153914307,0.058050293846381024,0.4709748530768095,0
211,0.0,0.0,1.0,0.0,1.0,0.0,-1.0,0.0,0.0,0.17625860702658908,0.05875286900886302,0.4706235654955685,0
212,0.0,0.0,1.0,0.0,1.0,0.0,-1.0,0.0,0.0,0.17837928880393178,0.059459762934643924,0.470270118532678,0
213,0.0,0.0,1.0,0.0,1.0,0.0,-1.0,0.0,0.0,0.1805128978862382,0.0601709659620794,0.4699145170189603,0
214,0.0,0.0,1.0,0.0,1.0,0.0,-1.0,0.0,0.0,0.18265940466340033,0.060886468221133444,0.4695567658894333,0
215,0.0,0.0,1.0,0.0,1.0,0.0,-1.0,0.0,0.0,0.18481877890345275,0.061606259634484246,0.46919687018275785,0
216,0.0,0.0,1.0,0.0,1.0,0.0,-1.0,0.0,0.0,0.1869909897558886,0.06233032991862953,0.46883483504068524,0
217,0.0,0.0,1.0,0.0,1.0,0.0,-1.0,0.0,0.0,0.18917600575497634,0.06305866858499211,0.46847066570750395,0
218,0.0,0.0,1.0,0.0,1.0,0.0,-1.0,0.0,0.0,0.19137379482307626,0.06379126494102542,0.4681043675294873,0
219,0.0,0.0,1.0,0.0,1.0,0.0,-1.0,0.0,0.0,0.19358432427395736,0.06452810809131912,0.4677359459543404,0
220,0.0,0.0,1.0,0.0,1.0,0.0,-1.0,0.0,0.0,0.19580756081611295,0.06526918693870432,0.46736540653064784,0
221,0.0,0.0,1.0,0.0,1.0,0.0,-1.0,0.0,0.0,0.19804347055607863,0.06601449018535954,0.46699275490732023,0
222,0.0,0.0,1.0,0.0,1.0,0.0,-1.0,0.0,0.0,0.2002920190017479,0.06676400633391597,0.466617996833042,0
